"Czas (s) Seria nr 5";"Napięcie (V) Seria nr 5"
64.850;1.436
64.900;1.434
64.950;1.432
65.000;1.428
65.050;1.425
65.100;1.423
65.150;1.421
65.200;1.418
65.250;1.416
65.300;1.414
65.350;1.412
65.400;1.409
65.450;1.407
65.500;1.405
65.550;1.403
65.600;1.401
65.650;1.399
65.700;1.397
65.750;1.395
65.800;1.391
65.850;1.389
65.900;1.386
65.950;1.384
66.000;1.382
66.050;1.380
66.100;1.378
66.150;1.376
66.200;1.374
66.250;1.372
66.300;1.369
66.350;1.367
66.400;1.365
66.450;1.363
66.500;1.361
66.550;1.358
66.600;1.355
66.650;1.352
66.700;1.350
66.750;1.348
66.800;1.346
66.850;1.344
66.900;1.343
66.950;1.340
67.000;1.337
67.050;1.335
67.100;1.333
67.150;1.331
67.200;1.328
67.250;1.327
67.300;1.324
67.350;1.323
67.400;1.319
67.450;1.318
67.500;1.316
67.550;1.314
67.600;1.311
67.650;1.310
67.700;1.308
67.750;1.306
67.800;1.303
67.850;1.301
67.900;1.299
67.950;1.297
68.000;1.294
68.050;1.293
68.100;1.290
68.150;1.288
68.200;1.285
68.250;1.283
68.300;1.281
68.350;1.280
68.400;1.279
68.450;1.277
68.500;1.275
68.550;1.273
68.600;1.270
68.650;1.267
68.700;1.265
68.750;1.263
68.800;1.262
68.850;1.259
68.900;1.257
68.950;1.255
69.000;1.253
69.050;1.251
69.100;1.248
69.150;1.248
69.200;1.246
69.250;1.243
69.300;1.241
69.350;1.239
69.400;1.236
69.450;1.233
69.500;1.231
69.550;1.229
69.600;1.227
69.650;1.225
69.700;1.224
69.750;1.221
69.800;1.219
69.850;1.217
69.900;1.214
69.950;1.212
70.000;1.209
70.050;1.208
70.100;1.206
70.150;1.204
70.200;1.202
70.250;1.201
70.300;1.198
70.350;1.196
70.400;1.195
70.450;1.193
70.500;1.192
70.550;1.190
70.600;1.187
70.650;1.184
70.700;1.181
70.750;1.180
70.800;1.177
70.850;1.176
70.900;1.174
70.950;1.172
71.000;1.170
71.050;1.169
71.100;1.166
71.150;1.164
71.200;1.163
71.250;1.162
71.300;1.160
71.350;1.158
71.400;1.156
71.450;1.154
71.500;1.152
71.550;1.150
71.600;1.148
71.650;1.146
71.700;1.144
71.750;1.143
71.800;1.141
71.850;1.139
71.900;1.137
71.950;1.135
72.000;1.134
72.050;1.131
72.100;1.130
72.150;1.128
72.200;1.126
72.250;1.123
72.300;1.121
72.350;1.120
72.400;1.116
72.450;1.115
72.500;1.113
72.550;1.112
72.600;1.109
72.650;1.108
72.700;1.106
72.750;1.104
72.800;1.102
72.850;1.101
72.900;1.099
72.950;1.098
73.000;1.096
73.050;1.095
73.100;1.092
73.150;1.091
73.200;1.088
73.250;1.086
73.300;1.085
73.350;1.083
73.400;1.081
73.450;1.079
73.500;1.077
73.550;1.076
73.600;1.074
73.650;1.073
73.700;1.071
73.750;1.070
73.800;1.068
73.850;1.067
73.900;1.065
73.950;1.063
74.000;1.061
74.050;1.060
74.100;1.058
74.150;1.057
74.200;1.054
74.250;1.052
74.300;1.050
74.350;1.047
74.400;1.045
74.450;1.044
74.500;1.042
74.550;1.041
74.600;1.039
74.650;1.038
74.700;1.036
